"category_id","lv1_category_kr","lv1_category_en","lv2_category_kr","lv2_category_en","lv3_category_kr","lv3_category_en","sku_category_id"
"olive_young_000148","스킨케어","Skincare","마스크ㆍ팩","MaskㆍPack","워시오프팩","Wash-Off Pack","sku_category_133"
"olive_young_000266","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","향수","PerfumeㆍDiffuser","유니섹스향수","Unisex Perfume","sku_category_4"
"olive_young_000175","메이크업","Makeup","네일","Nail","일반 폴리쉬","Manicure","sku_category_132"
"olive_young_000031","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","입욕제","Bath Products","sku_category_131"
"naver_000070","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","입욕제","Bath Products","sku_category_131"
"naver_000074","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","제모용품","Hair Removal","sku_category_130"
"olive_young_000049","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","제모크림","Shaving Cream","sku_category_130"
"olive_young_000176","메이크업","Makeup","네일","Nail","젤 폴리쉬","Gel Polish","sku_category_128"
"naver_000062","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","청결제","Feminine Wash","sku_category_127"
"olive_young_000129","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","청결제","Feminine wash","sku_category_127"
"naver_000037","메이크업","Makeup","베이스 메이크업","Base Makeup","컨실러","Concealer","sku_category_126"
"olive_young_000014","메이크업","Makeup","베이스 메이크업","Base Makeup","컨실러","Concealer","sku_category_126"
"olive_young_000201","메이크업","Makeup","립 메이크업","Lip Makeup","컬러립밤","Color Lip balm","sku_category_54"
"olive_young_000070","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","컬러염색ㆍ새치염색","Hair Dye","sku_category_139"
"olive_young_000152","스킨케어","Skincare","마스크ㆍ팩","MaskㆍPack","코팩","Nose Pack","sku_category_124"
"naver_000018","스킨케어","Skincare","마스크ㆍ팩","MaskㆍPack","코팩","Nose Pack","sku_category_124"
"olive_young_000018","메이크업","Makeup","베이스 메이크업","Base Makeup","쿠션","Cushion","sku_category_123"
"naver_000036","메이크업","Makeup","베이스 메이크업","Base Makeup","쿠션","Cushion Foundation","sku_category_123"
"olive_young_000172","메이크업","Makeup","네일","Nail","큐티클관리ㆍ리무버","CuticleㆍNail Remover","sku_category_122"
"olive_young_000006","스킨케어","Skincare","에센스ㆍ로션ㆍ크림","EssenceㆍLotionㆍCream","크림","Cream","sku_category_121"
